rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,자본총계,제 54 기,2021.12.31 현재,"52,675,012,000,000",제 53 기,2020.12.31 현재,"53,188,509,000,000",제 52 기,2019.12.31 현재,"53,520,615,000,000",22,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,IS,손익계산서,매출액,제 54 기,2021.01.01 ~ 2021.12.31,"55,605,120,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"50,661,002,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"49,155,693,000,000",24,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,IS,손익계산서,영업이익,제 54 기,2021.01.01 ~ 2021.12.31,"661,623,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"768,626,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"1,580,164,000,000",26,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 54 기,2021.01.01 ~ 2021.12.31,"989,847,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"526,843,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"3,189,893,000,000",28,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,IS,손익계산서,당기순이익,제 54 기,2021.01.01 ~ 2021.12.31,"645,526,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"526,975,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"2,767,666,000,000",30,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 54 기,2021.01.01 ~ 2021.12.31,"645,526,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"526,975,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"2,767,666,000,000",62,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,IS,손익계산서,총포괄손익,제 54 기,2021.01.01 ~ 2021.12.31,"775,156,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"644,341,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"2,701,340,000,000",64,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,유동자산,제 74 기,2021.12.31 현재,"26,870,451,000,000",제 73 기,2020.12.31 현재,"16,570,953,000,000",제 72 기,2019.12.31 현재,"14,457,602,000,000",1,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,비유동자산,제 74 기,2021.12.31 현재,"69,516,023,000,000",제 73 기,2020.12.31 현재,"54,602,900,000,000",제 72 기,2019.12.31 현재,"50,790,748,000,000",3,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,자산총계,제 74 기,2021.12.31 현재,"96,386,474,000,000",제 73 기,2020.12.31 현재,"71,173,853,000,000",제 72 기,2019.12.31 현재,"65,248,350,000,000",5,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,유동부채,제 74 기,2021.12.31 현재,"14,769,356,000,000",제 73 기,2020.12.31 현재,"9,072,360,000,000",제 72 기,2019.12.31 현재,"7,961,966,000,000",7,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,비유동부채,제 74 기,2021.12.31 현재,"19,426,060,000,000",제 73 기,2020.12.31 현재,"10,192,396,000,000",제 72 기,2019.12.31 현재,"9,350,502,000,000",9,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,부채총계,제 74 기,2021.12.31 현재,"34,195,416,000,000",제 73 기,2020.12.31 현재,"19,264,756,000,000",제 72 기,2019.12.31 현재,"17,312,468,000,000",11,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,자본금,제 74 기,2021.12.31 현재,"3,657,652,000,000",제 73 기,2020.12.31 현재,"3,657,652,000,000",제 72 기,2019.12.31 현재,"3,657,652,000,000",13,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 74 기,2021.12.31 현재,"55,784,068,000,000",제 73 기,2020.12.31 현재,"46,995,728,000,000",제 72 기,2019.12.31 현재,"42,923,362,000,000",17,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,BS,재무상태표,자본총계,제 74 기,2021.12.31 현재,"62,191,058,000,000",제 73 기,2020.12.31 현재,"51,909,097,000,000",제 72 기,2019.12.31 현재,"47,935,882,000,000",21,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,IS,손익계산서,매출액,제 74 기,2021.01.01 ~ 2021.12.31,"42,997,792,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"31,900,418,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"26,990,733,000,000",23,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,IS,손익계산서,영업이익,제 74 기,2021.01.01 ~ 2021.12.31,"12,410,340,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"5,012,624,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"2,719,179,000,000",25,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 74 기,2021.01.01 ~ 2021.12.31,"13,415,987,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"6,237,037,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"2,432,639,000,000",27,KRW
